Feature,Normalized.Dispersion
LOC117693020,nan
LOC109621113,nan
LOC117689737,nan
LOC117687025,nan
LOC105333279,nan
LOC105321471,nan
LOC105321472,0.9657001029862493
LOC117689460,nan
LOC105344774,nan
LOC117690921,nan
LOC117687074,6.517965571671358
LOC117682936,2.3526449416027932
LOC105336148,-1.3337440744639228
LOC105346550,-0.8328352316185554
LOC105321192,nan
LOC117684466,nan
LOC117684471,-0.6525935041316931
LOC105333180,-0.852143840057299
LOC105321195,1.526510628108389
LOC105321194,1.2055059165106594
LOC105321193,-1.1896008220995142
LOC105321197,-0.782113794528726
LOC105321199,0.4648723310532057
LOC105321198,-1.1795353082777646
LOC105321201,0.0949447159003325
LOC105321202,5.116077589174838
LOC105321203,-0.8208157503523663
LOC105328747,-0.36372965701763166
LOC105328746,0.798274154878996
LOC105328744,0.09873449707568845
LOC105328743,-0.08988063604818808
LOC105328742,0.129809483134786
LOC105328741,-1.6241365441950915
LOC109619976,-1.6022245400980513
LOC105337994,2.3779858065121435
LOC105328736,2.159857961863374
LOC105338004,nan
LOC117684582,nan
LOC117684581,1.3604776956228173
LOC117684584,-0.9491300766387541
LOC105333579,nan
LOC109620526,nan
LOC105342798,nan
LOC105320538,-0.018232147585990822
LOC105320528,0.7442300456819234
LOC105320530,-1.5229786181939977
LOC105320526,0.7571968730496126
LOC105318169,0.21988552262459582
LOC105318171,-1.2441936992665492
LOC105318173,1.2202243856977264
LOC105318172,0.29290227079339737
LOC105318174,-0.4449851653327618
LOC105318175,0.5800745860369377
LOC105318177,2.1468880232525294
LOC117680420,nan
LOC105318179,0.2763368373238604
LOC117684724,nan
LOC117684715,-0.4342788195370106
LOC117684721,-0.06728386945227362
LOC109619554,nan
LOC105329536,-0.5649473643946896
LOC105329535,0.5287435988383073
LOC105329534,4.211742513923242
LOC117684746,-2.151105273772212
LOC105329532,-1.3063479382135306
LOC105329531,0.06858084539682625
LOC105327371,nan
LOC105324352,10.670162181398695
LOC109618651,-0.9934008399646512
