gene_id	gene_short_name	cell_group	marker_score	mean_expression	fraction_expressing	specificity	pseudo_R2	marker_test_p_value	marker_test_q_value	gene_ID	unitpro	up_evalue	cel	cel_evalue	dmel	dmel_evalue	spur_acc	spur_evalue	Gene Type	Protein accession
LOC117689304	LOC117689304	1	0.256659109	2.979612807	0.589139344	0.435650939	0.177354539	8.91E-68	2.73E-62	insulin gene enhancer protein ISL-1-like	P61371.1	1.60E-158	C04F1.3.1	1.37E-68	tup-PB	4.60E-136	XP_781774.3	7.21E-151	protein-coding	XP_034325945.1
LOC105340436	LOC105340436	1	0.254041411	13.4217056	0.947745902	0.268048018	0.189790084	1.13E-72	3.46E-67	forkhead box protein E1	Q5J3Q5.1	1.05E-38	C47G2.2.1	5.29E-31	croc-PA	7.97E-30	XP_003727565.2	3.13E-33	protein-coding	XP_011444776.2
LOC105334018	LOC105334018	1	0.252313045	16.31440823	0.973360656	0.259218455	0.16083332	2.50E-61	7.65E-56	uncharacterized LOC105334018	Q95168.1	0.15	F58G11.2c.1	3.6	fuss-PD	6.9	XP_030842526.1	0.52	protein-coding	XP_011435588.2
LOC105317498	LOC105317498	1	0.228989269	2.65330789	0.558401639	0.410079865	0.136485156	6.09E-52	1.86E-46	uncharacterized LOC105317498	P32314.3	8.60E-16	C25A1.2.2	6.84E-13	fd96Cb-PA	2.28E-09	XP_030855503.1	8.88E-16	protein-coding	XP_011412452.2
LOC105340121	LOC105340121	1	0.227757554	3.457951957	0.767418033	0.296784209	0.127907978	1.15E-48	3.51E-43	porphobilinogen deaminase	P08397.2	2.28E-128	F44B9.6.1	2	l(3)02640-PA	4.25E-94	XP_781025.2	2.29E-108	protein-coding	XP_011444315.2
LOC105321127	LOC105321127	2	0.432156058	4.761255917	0.743221691	0.581463194	0.441362598	3.67E-153	1.12E-147	transcription factor AP-2-alpha-like	P58197.1	9.13E-98	K06A1.1.1	4.22E-61	TfAP-2-PF	9.75E-84	XP_030839379.1	1.33E-100	protein-coding	XP_034336905.1
LOC105327445	LOC105327445	2	0.377921126	32.43059996	0.925039872	0.408545769	0.264800777	3.62E-88	1.11E-82	sperm-specific protein PHI-2B/PHI-3	Q3HNG7.1	5.91E-12	C18G1.5.1	9.40E-09			XP_030839851.1	5.41E-08	protein-coding	XP_011426236.2
LOC105331128	LOC105331128	2	0.357054095	6.039563043	0.540669856	0.660392087	0.266692831	7.89E-89	2.41E-83	protocadherin-9	Q08174.2	2.22E-109	F15B9.7a.1	3.11E-64	ds-PB	4.04E-91	XP_787157.2	1.02E-86	protein-coding	XP_011431489.2
LOC105348851	LOC105348851	2	0.347016789	3.62247897	0.799043062	0.434290473	0.305986355	9.83E-103	3.00E-97	uncharacterized LOC105348851	E7FDB3.1	8.32E-26	R03D7.7.1	4.48E-05	nos-PB	1.70E-17	XP_030841829.1	1.38E-24	protein-coding	XP_011456725.1
LOC105329873	LOC105329873	2	0.344821391	4.0905734	0.488038278	0.706545791	0.281913351	3.53E-94	1.08E-88	gamma-aminobutyric acid type B receptor subunit 2	O75899.1	2.26E-50	ZK180.1.1	1.43E-35	GABA-B-R2-PC	9.26E-39	XP_030833503.1	7.68E-55	protein-coding	XP_011429658.2
