gene_id	gene_short_name	cell_group	marker_score	mean_expression	fraction_expressing	specificity	pseudo_R2	marker_test_p_value	marker_test_q_value	gene_ID	unitpro	up_evalue	cel	cel_evalue	dmel	dmel_evalue	spur_acc	spur_evalue	Gene Type	Protein accession
LOC117689304	LOC117689304	1	0.256659109	2.979612807	0.589139344	0.435650939	0.177354539	8.91E-68	2.73E-62	insulin gene enhancer protein ISL-1-like	P61371.1	1.60E-158	C04F1.3.1	1.37E-68	tup-PB	4.60E-136	XP_781774.3	7.21E-151	protein-coding	XP_034325945.1
LOC105340436	LOC105340436	1	0.254041411	13.4217056	0.947745902	0.268048018	0.189790084	1.13E-72	3.46E-67	forkhead box protein E1	Q5J3Q5.1	1.05E-38	C47G2.2.1	5.29E-31	croc-PA	7.97E-30	XP_003727565.2	3.13E-33	protein-coding	XP_011444776.2
LOC105334018	LOC105334018	1	0.252313045	16.31440823	0.973360656	0.259218455	0.16083332	2.50E-61	7.65E-56	uncharacterized LOC105334018	Q95168.1	0.15	F58G11.2c.1	3.6	fuss-PD	6.9	XP_030842526.1	0.52	protein-coding	XP_011435588.2
LOC105317498	LOC105317498	1	0.228989269	2.65330789	0.558401639	0.410079865	0.136485156	6.09E-52	1.86E-46	uncharacterized LOC105317498	P32314.3	8.60E-16	C25A1.2.2	6.84E-13	fd96Cb-PA	2.28E-09	XP_030855503.1	8.88E-16	protein-coding	XP_011412452.2
LOC105340121	LOC105340121	1	0.227757554	3.457951957	0.767418033	0.296784209	0.127907978	1.15E-48	3.51E-43	porphobilinogen deaminase	P08397.2	2.28E-128	F44B9.6.1	2	l(3)02640-PA	4.25E-94	XP_781025.2	2.29E-108	protein-coding	XP_011444315.2
LOC105318662	LOC105318662	1	0.222116442	1.898546956	0.602459016	0.368683073	0.138179958	1.37E-52	4.18E-47	WD repeat and SOCS box-containing protein 1	Q9Y6I7.1	3.06E-122	T03F6.5.1	1.83E-16	wds-PB	8.44E-15	XP_003727659.1	1.21E-95	protein-coding	XP_011414185.2
LOC105325417	LOC105325417	1	0.217361795	2.046386323	0.49795082	0.436512576	0.15468007	6.07E-59	1.86E-53	transcription factor AP-2-epsilon	P34056.2	2.48E-124	K06A1.1.1	4.21E-71	TfAP-2-PC	4.13E-101	XP_030839379.1	2.43E-128	protein-coding	XP_011423272.1
LOC105346975	LOC105346975	1	0.210679524	8.618334557	0.914959016	0.23026116	0.047954994	7.27E-19	2.22E-13	rab11 family-interacting protein 4A	Q86YS3.1	1.38E-44	F55C12.1d.1	4.26E-18	nuf-PF	4.44E-19	XP_011678395.2	1.18E-34	protein-coding	XP_011454112.2
LOC117684131	LOC117684131	1	0.210540208	128.4756318	1	0.210540208	0.093542671	1.05E-35	3.21E-30	large subunit ribosomal RNA_rRNA									rRNA	
LOC105343425	LOC105343425	1	0.205687985	1.548661637	0.521516393	0.394403681	0.194516562	1.52E-74	4.65E-69	1-acyl-sn-glycerol-3-phosphate acyltransferase alpha	Q95JH0.1	4.36E-66	T06E8.1a.1	1.27E-53	Agpat1-PC	1.46E-63	XP_781558.2	2.99E-72	protein-coding	XP_011449105.2
