gene_id	gene_short_name	cell_group	marker_score	mean_expression	fraction_expressing	specificity	pseudo_R2	marker_test_p_value	marker_test_q_value	gene_ID	unitpro	up_evalue	cel	cel_evalue	dmel	dmel_evalue	spur_acc	spur_evalue	Gene Type	Protein accession
LOC105340436	LOC105340436	1	0.252994734	13.40348026	0.980089395	0.258134345	0.238376154	1.19E-176	4.56E-171	forkhead box protein E1	Q5J3Q5.1	1.05E-38	C47G2.2.1	5.29E-31	croc-PA	7.97E-30	XP_003727565.2	3.13E-33	protein-coding	XP_011444776.2
LOC105322262	LOC105322262	1	0.241612911	13.34550212	0.993498578	0.243194018	0.221923899	3.68E-164	1.41E-158	glutamine synthetase 2 cytoplasmic-like	P20478.3	0	Y105C5B.28a.1	0	Gs2-PD	0	XP_030853466.1	0	protein-coding	NP_001295770.1
LOC105336376	LOC105336376	1	0.185115512	4.379501509	0.905729378	0.204382806	0.083827507	7.41E-62	2.83E-56	ras-related protein Rab-9A	Q9R0M6.1	2.78E-98	W03C9.3.2	1.15E-63	Rab9-PA	3.15E-64	XP_030836470.1	3.02E-96	protein-coding	XP_011438975.1
LOC105336839	LOC105336839	1	0.182989541	6.575223152	0.927671678	0.197256793	0.094921395	6.43E-70	2.46E-64	mRNA decay activator protein ZFP36L1	Q805B4.1	3.03E-49	F38B7.1b.1	1.09E-29	Tis11-PD	2.95E-44	XP_782811.1	2.71E-49	protein-coding	XP_011439615.2
LOC105348083	LOC105348083	1	0.182531671	12.2991153	0.994311256	0.183575988	0.143850405	8.70E-106	3.33E-100	MAP kinase-interacting serine/threonine-protein kinase 1	O08605.2	2.95E-152	R166.5b.1	5.32E-115	Lk6-PB	2.17E-126	XP_779905.1	8.94E-147	protein-coding	XP_011455691.1
LOC105327445	LOC105327445	2	0.334403907	39.02065211	0.998454405	0.33492156	0.554603424	0	0	sperm-specific protein PHI-2B/PHI-3	Q3HNG7.1	5.91E-12	C18G1.5.1	9.40E-09			XP_030839851.1	5.41E-08	protein-coding	XP_011426236.2
LOC105335685	LOC105335685	2	0.26599368	3.581496149	0.934054611	0.284773157	0.301572604	2.51E-207	9.57E-202	cell division cycle-associated protein 7	Q922M5.1	8.60E-58	T14B4.1.1	0.12	CG7461-PC	2.6	XP_030833692.1	3.07E-71	protein-coding	XP_011438013.1
LOC105348851	LOC105348851	2	0.25461164	3.823869979	0.917053065	0.27764112	0.260847052	1.65E-178	6.32E-173	uncharacterized LOC105348851	E7FDB3.1	8.32E-26	R03D7.7.1	4.48E-05	nos-PB	1.70E-17	XP_030841829.1	1.38E-24	protein-coding	XP_011456725.1
LOC105335166	LOC105335166	2	0.250743412	2.385926792	0.839258114	0.298767933	0.240097391	5.83E-164	2.23E-158	probable ATP-dependent RNA helicase DDX4	Q4R5S7.1	0	Y54E10A.9a.2	3.06E-147	vas-PC	4.06E-150	NP_001139665.1	0	protein-coding	NP_001292258.1
LOC105349033	LOC105349033	2	0.250189447	3.668926414	0.939206595	0.266383828	0.270242222	4.00E-185	1.53E-179	GATA zinc finger domain-containing protein 14	Q9H1Q7.1	1.64E-93	D2030.8.2	2.01E-33			XP_030841298.1	1.76E-90	protein-coding	XP_034330368.1
LOC105318939	LOC105318939	3	0.445632847	3.875761772	0.956890921	0.46570914	0.600448612	0	0	ankyrin repeat and SOCS box protein 2	Q8NFD2.1	1.55E-07	Y71A12B.4.1	3.12E-06	Ank2-PX	1.47E-05	XP_030844191.1	5.90E-13	protein-coding	XP_011414580.2
LOC105337374	LOC105337374	3	0.44502565	5.549946345	0.971913782	0.457885934	0.629369418	0	0	Uncharacterized protein C2orf50	Q96LR7.1	1.13E-15	F41A4.1.1	2.2	Vps13B-PA	4.7	XP_030830022.1	1.66E-20	protein-coding	XP_011440376.1
LOC105339310	LOC105339310	3	0.434367559	2.219560322	0.920966688	0.471643072	0.559995859	0	0	sperm flagellar protein 1	Q0IH24.1	1.40E-53	Y81G3A.3b.3	5.4	CG12395-PA	5.28E-13	XP_782895.3	1.76E-47	protein-coding	XP_011443089.1
LOC105330238	LOC105330238	3	0.431594185	5.022692728	0.965382103	0.447070837	0.582825801	0	0	uncharacterized LOC105330238	Q0E908.1	5.72E-16	K02C4.4a.1	8.30E-15	Hil-PA	9.74E-17	XP_030849230.1	1.94E-05	protein-coding	XP_019923637.2
LOC105319306	LOC105319306	3	0.409889827	1.873512866	0.889614631	0.460749871	0.507761332	0	0	uncharacterized LOC105319306	A7MBE0.1	0.32	T02C5.5b.1	2.8	PRL-1-PD	6.4	XP_030829998.1	0.22	protein-coding	XP_011415090.2
LOC105340519	LOC105340519	4	0.339870359	9.959059423	0.721843003	0.470836951	0.168778971	1.28E-94	4.91E-89	uncharacterized LOC105340519	B4F220.1	4	F52H3.7a.2	4.2	CG30069-PA	9	XP_003724227.3	1.4	protein-coding	XP_011444918.2
LOC105333922	LOC105333922	4	0.338461175	4.721928237	0.744880546	0.454383158	0.236492799	7.09E-133	2.71E-127	forkhead box protein L2	Q12951.3	2.25E-31	C25A1.2.2	1.41E-39	fd102C-PA	3.80E-36	XP_003725384.1	8.84E-47	protein-coding	XP_011435457.2
LOC105339354	LOC105339354	4	0.335081374	2.642325206	0.760238908	0.440757991	0.316480167	6.94E-179	2.65E-173	zinc finger protein ZIC 4	O73689.1	8.07E-121	C47C12.3b.1	6.32E-54	opa-PA	3.99E-95	XP_030837642.1	1.00E-114	protein-coding	XP_011443176.2
LOC105333225	LOC105333225	4	0.333726082	2.551649371	0.740614334	0.450607106	0.290184965	1.17E-163	4.46E-158	T-box brain protein 1	Q64336.2	1.91E-91	F21H11.3.2	6.33E-55	byn-PC	1.92E-60	XP_791266.2	1.23E-90	protein-coding	XP_034310283.1
LOC105348692	LOC105348692	4	0.32243431	3.451172383	0.870307167	0.370483344	0.340786637	4.76E-193	1.82E-187	four-jointed box protein 1	P54360.2	6.80E-89	Y54G2A.17c.2	0.076	fj-PA	7.36E-89	XP_011662184.2	1.22E-82	protein-coding	XP_034332764.1
LOC105341878	LOC105341878	5	0.28003304	3.041939274	0.576211454	0.485990062	0.190411633	2.28E-105	8.72E-100	uncharacterized LOC105341878	Q29013.1	0.82	C35A11.3b.1	0.39	Gr10a-PB	3.1	XP_030829338.1	0.019	protein-coding	XP_034315844.1
LOC109619047	LOC109619047	5	0.272776768	21.541864	0.889867841	0.306536269	0.107488045	1.01E-59	3.86E-54	uncharacterized LOC109619047	Q5RJ80.1	1.6	R05G6.10c.1	0.67	Nepl3-PA	3.6	XP_030855807.1	5.4	protein-coding	XP_019923837.2
LOC105325948	LOC105325948	5	0.254579249	3.959153011	0.552422907	0.460841224	0.151059241	1.33E-83	5.10E-78	transient receptor potential cation channel subfamily M member-like 2	A7T1N0.1	1.02E-97	ZK512.3.1	1.34E-59	Trpm-PJ	5.40E-34	XP_030829334.1	8.19E-84	protein-coding	XP_019921765.2
LOC105342396	LOC105342396	5	0.241993913	4.602477789	0.608810573	0.397486383	0.108634891	2.39E-60	9.15E-55	girdin	Q3V6T2.2	0	Y51A2D.15a.1	3.67E-19	Girdin-PA	1.80E-68	XP_030854659.1	0	protein-coding	XP_011447637.2
LOC117684131	LOC117684131	5	0.201604753	176.9042504	1	0.201604753	0.304983525	6.68E-170	2.55E-164	large subunit ribosomal RNA_rRNA									rRNA	
LOC117684131	LOC117684131	6	0.288462599	284.1467629	1	0.288462599	0.772726947	0	0	large subunit ribosomal RNA_rRNA									rRNA	
LOC117684133	LOC117684133	6	0.2360868	394.6320525	1	0.2360868	0.670443526	0	0	small subunit ribosomal RNA_rRNA									rRNA	
LOC105322187	LOC105322187	6	0.193747497	2.451545638	0.701040681	0.27637126	0.14006891	2.65E-75	1.01E-69	uncharacterized LOC105322187	Q24SP0.1	7.1	W01A8.8a.1	2.84E-08	CG33723-PA	0.67	XP_030854866.1	4.8	protein-coding	XP_034300918.1
LOC105343071	LOC105343071	6	0.189639894	23.6507962	1	0.189639894	0.348431763	5.80E-189	2.22E-183	tubulin beta chain	P11833.1	0	B0272.1.1	0	betaTub56D-PB	0	XP_003727239.1	0	protein-coding	XP_011448542.1
LOC105334733	LOC105334733	6	0.184450437	14.94897955	0.998107852	0.184800106	0.276762396	3.03E-149	1.16E-143	calmodulin	Q95NR9.3	1.40E-102	T21H3.3a.1	1.42E-102	Cam-PD	7.47E-103	XP_003726932.1	8.41E-103	protein-coding	XP_011436588.1
LOC105338027	LOC105338027	7	0.447139704	6.525162697	0.746835443	0.598712485	0.372621517	6.75E-149	2.58E-143	forkhead box protein B1	Q64732.2	8.02E-53	F38A6.1b.1	9.33E-48	fkh-PD	4.64E-47	XP_003727565.2	6.06E-80	protein-coding	XP_011441298.1
LOC105343715	LOC105343715	7	0.4269757	4.963129755	0.860759494	0.496045299	0.426806703	4.62E-171	1.76E-165	sal-like protein 1	Q9BXA9.2	1.44E-94	F15C11.1.1	2.07E-32	salr-PC	1.73E-46	XP_030832052.1	3.23E-108	protein-coding	XP_034338577.1
LOC105321127	LOC105321127	7	0.39405871	5.799091181	0.972875226	0.405045477	0.568760532	3.72E-230	1.42E-224	transcription factor AP-2-alpha-like	P58197.1	9.13E-98	K06A1.1.1	4.22E-61	TfAP-2-PF	9.75E-84	XP_030839379.1	1.33E-100	protein-coding	XP_034336905.1
