gene_id	gene_short_name	cell_group	marker_score	mean_expression	fraction_expressing	specificity	pseudo_R2	marker_test_p_value	marker_test_q_value	gene_ID	unitpro	up_evalue	cel	cel_evalue	dmel	dmel_evalue	spur_acc	spur_evalue	Gene Type	Protein accession
LOC105342649	LOC105342649	1	0.451329795	33.02219382	0.962784588	0.468775467	0.668974173	0	0	uncharacterized LOC105342649	Q6INA9.1	0.48	R11E3.7a.2	1.6			XP_030850379.1	0.1	protein-coding	XP_019928642.2
LOC105321169	LOC105321169	1	0.44809218	232.7652559	0.994308231	0.450657216	0.788056404	0	0	uncharacterized LOC105321169	H2BKS9.1	0.56	T27E9.1a.3	5.4			XP_030830728.1	0.22	protein-coding	XP_011417694.2
LOC109617263	LOC109617263	1	0.440223538	55.5456715	0.927758319	0.474502388	0.60955223	0	0	uncharacterized LOC109617263_ncRNA									lncRNA	
LOC105320586	LOC105320586	1	0.419516577	3.724574574	0.882224168	0.475521519	0.588389086	0	0	sodium/hydrogen exchanger 9B2	Q5BKR2.2	1.36E-113	F41E7.1.1	1.48E-40	Nha1-PB	3.54E-87	XP_030835794.1	3.35E-144	protein-coding	XP_011416874.2
LOC105322816	LOC105322816	1	0.413682608	7.916160061	0.964535902	0.428892908	0.730291794	0	0	carbohydrate sulfotransferase 13	Q7T3S3.1	2.90E-35	C18B2.1.1	0.062	CG31743-PB	9.54E-29	XP_011672230.2	2.50E-32	protein-coding	XP_011420016.2
LOC105318672	LOC105318672	1	0.409778797	91.33449803	0.993870403	0.412306067	0.750091372	0	0	solute carrier family 43 member 3	Q8NBI5.2	1.86E-52	F02D8.5.1	3.4	AP-1gamma-PB	1	XP_030848095.1	1.75E-40	protein-coding	XP_034338534.1
LOC105318603	LOC105318603	1	0.406104586	5.632869685	0.94089317	0.431616042	0.656843533	0	0	fibronectin type III domain-containing protein 2	H2A0L8.1	1.62E-164	C09D8.1i.1	1.44E-21	Lar-PI	7.35E-43	XP_030851900.1	1.46E-19	protein-coding	XP_011414106.2
LOC105319384	LOC105319384	1	0.404621766	48.18637732	0.966725044	0.418548964	0.63009613	0	0	G protein-activated inward rectifier potassium channel 2	P48545.3	1.38E-84	M02A10.2b.1	2.13E-88	Irk1-PD	4.21E-78	XP_011660845.2	8.32E-83	protein-coding	XP_011415209.1
LOC105340517	LOC105340517	1	0.398291842	9.560579505	0.823992995	0.483367995	0.474530716	0	0	transcription factor Sox-8-like	Q6VVD7.1	1.90E-75	K08A8.2a.3	4.80E-31	Sox100B-PA	2.59E-40	XP_786809.2	1.79E-55	protein-coding	NP_001295801.1
LOC105347362	LOC105347362	1	0.390805099	18.9841683	0.990805604	0.39443166	0.77251984	0	0	sodium/hydrogen exchanger 9B2	Q5BKR2.2	1.53E-132	F41E7.1.1	4.58E-46	Nha1-PB	1.02E-77	XP_030835794.1	1.97E-164	protein-coding	XP_011454711.2
LOC117682466	LOC117682466	1	0.390266373	2.14399251	0.875656743	0.445684198	0.565389595	0	0	uncharacterized LOC117682466	B0SW81.1	0.033	W06H8.8e.2	1.4	Hr3-PI	5.8	XP_030851171.1	0.33	protein-coding	XP_034305945.1
LOC105333120	LOC105333120	1	0.388685727	11.79594882	0.929947461	0.417965255	0.587437577	0	0	putative defense protein 3	Q0Q028.1	1.02E-12	F23B12.4c.2	0.004	l(2)34Fc-PB	2.61E-11	XP_030836407.1	1.06E-14	protein-coding	XP_011434249.1
LOC117683284	LOC117683284	1	0.383344059	1.949674573	0.820490368	0.467213356	0.516716643	0	0	atrial natriuretic peptide receptor 2-like	P18910.1	0	T01A4.1a.1	3.82E-158	CG3216-PC	1.34E-172	XP_030856213.1	0	protein-coding	XP_034308315.1
LOC105334087	LOC105334087	1	0.382731449	2.023552193	0.77145359	0.49611727	0.452131647	0	0	sodium-dependent glucose transporter 1A	A4QN56.1	3.88E-31	B0303.3.2	0.59	CG9826-PC	3	XP_030828673.1	2.89E-27	protein-coding	XP_011435710.2
LOC117690118	LOC117690118	1	0.382258947	6.76063842	0.956217163	0.399761646	0.667091613	0	0	uncharacterized LOC117690118	Q9NAN2.2	1.1	T26E3.3a.2	0.096	Hsc70-1-PD	1.4			protein-coding	XP_034329276.1
LOC105337870	LOC105337870	1	0.371477318	24.7177924	0.987740806	0.376087853	0.747424184	0	0	homeobox protein Meis1	Q60954.1	3.67E-97	T28F12.2h.1	4.72E-50	hth-PA	1.58E-83	XP_030854523.1	3.48E-83	protein-coding	XP_011441096.2
LOC105327632	LOC105327632	1	0.367169535	2.819732649	0.911120841	0.40298665	0.582982576	0	0	deleted in malignant brain tumors 1 protein	Q9UGM3.2	5.07E-159	C06B8.7.1	1.85E-05	teq-PD	3.81E-20	XP_030853316.1	0	protein-coding	XP_011426521.2
LOC105323913	LOC105323913	1	0.365921162	13.88188279	0.903677758	0.404924386	0.560668749	0	0	valine-rich protein-like	H2A0K6.1	1.97E-37	B0491.8c.1	0.63			XP_030833450.1	0.6	protein-coding	XP_034318830.1
LOC105326721	LOC105326721	1	0.363949584	14.87697658	0.916812609	0.396972708	0.56615346	0	0	mantle protein	P86948.1	3.54E-42	F26A3.8a.1	3.1	CG11970-PB	0.29	XP_030846345.1	2.2	protein-coding	XP_011425194.2
LOC105333627	LOC105333627	1	0.362735598	4.458941278	0.927758319	0.390980701	0.623729386	0	0	tetraspanin-9	Q0VC33.1	3.23E-26	F33C8.3.1	4.69E-19	Tsp96F-PC	1.46E-17	XP_030845566.1	8.18E-37	protein-coding	XP_011434985.2
LOC105347694	LOC105347694	1	0.35784991	4.895659789	0.911558669	0.392569258	0.587440604	0	0	uncharacterized LOC105347694	Q8TIW9.1	0.000164	ZC404.1.1	0.3			XP_030833192.1	0.086	protein-coding	XP_011455167.2
LOC105330942	LOC105330942	1	0.35492166	5.100685455	0.806917688	0.439848655	0.438310061	0	0	uncharacterized LOC105330942	Q06002.3	0.022	F36H1.3.1	2.4			XP_030843518.1	0.19	protein-coding	XP_011431191.2
LOC105319383	LOC105319383	1	0.353200218	39.88950546	0.842381786	0.419287576	0.409001933	0.00E+00	0.00E+00	G protein-activated inward rectifier potassium channel 2-like	P48542.1	9.88E-85	M02A10.2a.1	1.70E-83	Irk1-PB	9.19E-81	XP_030838375.1	1.31E-79	protein-coding	XP_011415208.2
LOC105331756	LOC105331756	1	0.352476729	3.92958881	0.773642732	0.455606592	0.418967746	0	0	apolipoprotein D	P05090.1	1.60E-23	Y48B6A.6a.2	3.8	NLaz-PC	5.14E-25	XP_030842932.1	4.59E-24	protein-coding	XP_011432383.2
LOC105318644	LOC105318644	1	0.348170669	23.36887904	0.796409807	0.437175265	0.396670317	0.00E+00	4.59E-308	uncharacterized LOC105318644_ncRNA									lncRNA	
LOC105340282	LOC105340282	2	0.333179642	127.0254314	0.93215812	0.357428247	0.488154438	0	0	protein OVEREXPRESSOR OF CATIONIC PEROXIDASE 3	Q24DE2.2	1.7	W03D2.1c.1	0.21			XP_030839292.1	0.025	protein-coding	XP_011444539.2
LOC105323998	LOC105323998	2	0.312197705	17.31903904	0.74465812	0.419249715	0.382221875	4.80E-280	4.96E-274	neurogenic locus notch homolog protein 1	P10079.2	9.64E-86	F47C12.2.1	1.54E-71	N-PB	5.37E-74	XP_030854981.1	4.83E-92	protein-coding	XP_034320304.1
LOC105335483	LOC105335483	2	0.242556591	5.731008756	0.840811966	0.288478995	0.401541223	1.30E-294	1.34E-288	group XIIA secretory phospholipase A2	Q9EPR2.2	3.23E-27	F35C11.5.1	0.045	GXIVsPLA2-PD	1.03E-33	XP_003728278.2	2.61E-11	protein-coding	XP_034315009.1
LOC105330622	LOC105330622	2	0.237688214	2.080517917	0.63034188	0.377078251	0.299787757	1.84E-218	1.89E-212	tetratricopeptide repeat protein 25	Q7ZU45.2	1.27E-152	F32A6.4a.2	1.80E-05	CG13502-PD	2.67E-41	XP_030830887.1	4.43E-174	protein-coding	XP_011430748.2
LOC105331878	LOC105331878	2	0.23071383	6.617559764	0.886217949	0.260335316	0.431135408	0.00E+00	0.00E+00	uncharacterized LOC105331878	O50580.1	7.4	F10A3.3.1	0.25	CG42264-PB	8.6	XP_030839847.1	2.2	protein-coding	XP_011432551.2
LOC105327553	LOC105327553	2	0.214332957	3.272729599	0.765491453	0.279993926	0.336311817	1.24E-245	1.28E-239	uncharacterized LOC105327553	P14547.1	0.006	BE0003N10.6d.1	0.98	S-PA	0.017	XP_793412.2	0.44	protein-coding	XP_034331151.1
LOC105334836	LOC105334836	2	0.207548982	6.521667106	0.797542735	0.260235562	0.318060229	4.94E-232	5.09E-226	cytochrome P450 26A1	O43174.2	2.95E-125	Y80D3A.5.1	4.41E-27	Cyp4d20-PA	1.74E-22	XP_001199776.1	1.24E-102	protein-coding	XP_011436768.2
LOC105336123	LOC105336123	2	0.205550714	3.943887265	0.849893162	0.241854769	0.369041111	3.90E-270	4.02E-264	centrosomal protein of 89 kDa	Q9CZX2.1	2.43E-89	T22A3.8.1	8.50E-06	Treh-PF	4	XP_030831423.1	3.16E-88	protein-coding	XP_034339374.1
LOC105317976	LOC105317976	2	0.193789422	1.445345285	0.537393162	0.360610137	0.236305517	1.16E-171	1.20E-165	neuronal acetylcholine receptor subunit alpha-6	P43143.1	2.03E-53	F25G6.3.1	9.03E-45	nAChRalpha2-PB	9.46E-42	XP_786790.3	1.92E-43	protein-coding	XP_011413100.1
LOC117690142	LOC117690142	2	0.189621775	3.04914308	0.74732906	0.25373264	0.311029523	8.32E-227	8.59E-221	uncharacterized LOC117690142	O97397.1	0.6	C51E3.3.1	3.1	CG10445-PE	2.6	XP_011668608.2	1.6	protein-coding	XP_034329366.1
LOC105339702	LOC105339702	2	0.183862234	3.196628537	0.785790598	0.233983754	0.276720465	2.15E-201	2.21E-195	centrosomal protein of 63 kDa	P0CB05.1	7.03E-63	K08C7.3c.1	2.16E-07	Mtor-PB	3.7	XP_030838198.1	1.19E-49	protein-coding	XP_034328093.1
LOC105323227	LOC105323227	2	0.182873423	3.958626955	0.81517094	0.224337515	0.327442777	5.10E-239	5.26E-233	DNA ligase 1	Q40642.1	5.02E-20	T21H3.3a.1	8.16E-19	Cam-PD	1.81E-19	XP_011675926.1	2.49E-19	protein-coding	XP_011420555.2
LOC109618881	LOC109618881	2	0.181507433	7.488103022	0.853098291	0.212762626	0.344827592	5.40E-252	5.57E-246	tubulin alpha-1A chain-like	P05213.2	0	C44B11.3.1	0	alphaTub84B-PA	0	XP_795276.3	0	protein-coding	XP_034309145.1
