gene_id	gene_short_name	cell_group	marker_score	mean_expression	fraction_expressing	specificity	pseudo_R2	marker_test_p_value	marker_test_q_value	gene_ID	unitpro	up_evalue	cel	cel_evalue	dmel	dmel_evalue	spur_acc	spur_evalue	Gene Type	Protein accession
LOC105342649	LOC105342649	1	0.451329795	33.02219382	0.962784588	0.468775467	0.668974173	0	0	uncharacterized LOC105342649	Q6INA9.1	0.48	R11E3.7a.2	1.6			XP_030850379.1	0.1	protein-coding	XP_019928642.2
LOC105321169	LOC105321169	1	0.44809218	232.7652559	0.994308231	0.450657216	0.788056404	0	0	uncharacterized LOC105321169	H2BKS9.1	0.56	T27E9.1a.3	5.4			XP_030830728.1	0.22	protein-coding	XP_011417694.2
LOC109617263	LOC109617263	1	0.440223538	55.5456715	0.927758319	0.474502388	0.60955223	0	0	uncharacterized LOC109617263_ncRNA									lncRNA	
LOC105320586	LOC105320586	1	0.419516577	3.724574574	0.882224168	0.475521519	0.588389086	0	0	sodium/hydrogen exchanger 9B2	Q5BKR2.2	1.36E-113	F41E7.1.1	1.48E-40	Nha1-PB	3.54E-87	XP_030835794.1	3.35E-144	protein-coding	XP_011416874.2
LOC105322816	LOC105322816	1	0.413682608	7.916160061	0.964535902	0.428892908	0.730291794	0	0	carbohydrate sulfotransferase 13	Q7T3S3.1	2.90E-35	C18B2.1.1	0.062	CG31743-PB	9.54E-29	XP_011672230.2	2.50E-32	protein-coding	XP_011420016.2
LOC105340282	LOC105340282	2	0.333179642	127.0254314	0.93215812	0.357428247	0.488154438	0	0	protein OVEREXPRESSOR OF CATIONIC PEROXIDASE 3	Q24DE2.2	1.7	W03D2.1c.1	0.21			XP_030839292.1	0.025	protein-coding	XP_011444539.2
LOC105323998	LOC105323998	2	0.312197705	17.31903904	0.74465812	0.419249715	0.382221875	4.80E-280	4.96E-274	neurogenic locus notch homolog protein 1	P10079.2	9.64E-86	F47C12.2.1	1.54E-71	N-PB	5.37E-74	XP_030854981.1	4.83E-92	protein-coding	XP_034320304.1
LOC105335483	LOC105335483	2	0.242556591	5.731008756	0.840811966	0.288478995	0.401541223	1.30E-294	1.34E-288	group XIIA secretory phospholipase A2	Q9EPR2.2	3.23E-27	F35C11.5.1	0.045	GXIVsPLA2-PD	1.03E-33	XP_003728278.2	2.61E-11	protein-coding	XP_034315009.1
LOC105330622	LOC105330622	2	0.237688214	2.080517917	0.63034188	0.377078251	0.299787757	1.84E-218	1.89E-212	tetratricopeptide repeat protein 25	Q7ZU45.2	1.27E-152	F32A6.4a.2	1.80E-05	CG13502-PD	2.67E-41	XP_030830887.1	4.43E-174	protein-coding	XP_011430748.2
LOC105331878	LOC105331878	2	0.23071383	6.617559764	0.886217949	0.260335316	0.431135408	0.00E+00	0.00E+00	uncharacterized LOC105331878	O50580.1	7.4	F10A3.3.1	0.25	CG42264-PB	8.6	XP_030839847.1	2.2	protein-coding	XP_011432551.2
LOC105321987	LOC105321987	3	0.208528803	5.458662769	0.48581355	0.429236284	0.210544303	4.42E-148	4.56E-142	protein odd-skipped-related 2	Q32NK7.1	2.81E-51	C34H3.2.1	8.31E-52	odd-PA	8.26E-46	XP_011678010.2	1.02E-50	protein-coding	XP_011418803.2
LOC105345868	LOC105345868	3	0.207956404	1.549902082	0.409959467	0.50726089	0.173366078	6.75E-122	6.96E-116	chordin	O57472.1	3.49E-121	F19C6.3.1	4.88E-06	sog-PB	2.41E-78	XP_030843065.1	1.77E-119	protein-coding	XP_011452499.2
LOC105344804	LOC105344804	3	0.182508243	0.928599726	0.273306312	0.667779102	0.130501223	6.62E-92	6.83E-86	uncharacterized LOC105344804	Q66KX2.1	0.000441	F15G9.4b.1	0.000151	dpr4-PB	5.69E-07	XP_003723404.2	3.66E-07	protein-coding	XP_011450993.2
LOC105319548	LOC105319548	3	0.179723575	5.042982956	0.564562826	0.318341143	0.183185406	8.50E-129	8.77E-123	fatty acid-binding protein homolog 6	O01814.1	1.24E-05	W02D3.7.1	1.09E-06			XP_003725867.1	0.011	protein-coding	XP_011415437.1
LOC105318190	LOC105318190	3	0.150705561	3.011999253	0.674580197	0.223406442	0.26561621	3.60E-187	3.72E-181	silk gland factor 1	O42097.1	1.38E-90	F38A6.1b.1	5.30E-57	fkh-PD	7.27E-73	NP_001073010.1	7.17E-95	protein-coding	XP_011413445.1
LOC105322588	LOC105322588	4	0.479444626	55.24957835	0.93599493	0.512229939	0.647690527	0	0	uncharacterized LOC105322588	Q8WWQ8.3	0.64	T12A7.2a.2	0.82	ft-PA	9.8	XP_030829172.1	0.000876	protein-coding	XP_011419704.2
LOC105318663	LOC105318663	4	0.477517388	98.34853369	0.972750317	0.490894097	0.723156236	0	0	"keratin, type I cytoskeletal 10"	A5DVD6.1	0.069	K08E4.1.2	1.2			XP_030837225.1	0.59	protein-coding	XP_019918915.2
LOC105319984	LOC105319984	4	0.476077843	38.57694852	0.875158428	0.543990468	0.531482002	0	0	low-density lipoprotein receptor-related protein 12	Q5R662.2	3.23E-12	Y105E8A.7b.1	1.74E-09	CG6024-PF	1.36E-08	XP_030840750.1	3.30E-21	protein-coding	XP_011416033.2
LOC105333667	LOC105333667	4	0.471646135	51.84105673	0.956907478	0.492885828	0.704546007	0	0	"glutenin, high molecular weight subunit DX5"	P33431.3	5.10E-26	ZK430.3.1	2.95E-29	Sod3-PF	1.88E-23	XP_030829251.1	1.55E-25	protein-coding	XP_011435043.2
LOC117689752	LOC117689752	4	0.470736295	203.7609402	0.958808619	0.490959599	0.629736863	0	0	uncharacterized LOC117689752	Q2M2H8.3	0.49	T12A7.2a.2	0.009	Myo10A-PF	8.2	XP_787095.2	0.03	protein-coding	XP_034327518.1
LOC105345029	LOC105345029	5	0.311890493	3.658666421	0.884089273	0.352781673	0.532505399	0	0	uncharacterized LOC105345029	P0DI02.1	2.7	ZC262.3a.1	2.1			XP_030831830.1	2.5	protein-coding	XP_011451312.2
LOC105341434	LOC105341434	5	0.248216573	2.992502979	0.86537077	0.286832629	0.45682855	1.88E-297	1.94E-291	ileal sodium/bile acid cotransporter	Q28727.1	2.84E-44	Y71G10AR.4.1	5.65E-67	CG11655-PA	2.84E-58	XP_030855670.1	1.30E-47	protein-coding	XP_011446280.2
LOC105334836	LOC105334836	5	0.2445812	6.805985125	0.910007199	0.268768423	0.485917908	0.00E+00	0.00E+00	cytochrome P450 26A1	O43174.2	2.95E-125	Y80D3A.5.1	4.41E-27	Cyp4d20-PA	1.74E-22	XP_001199776.1	1.24E-102	protein-coding	XP_011436768.2
LOC105325421	LOC105325421	5	0.227163358	3.499542024	0.710583153	0.319685819	0.306778679	4.86E-198	5.02E-192	uncharacterized LOC105325421	A4W9J6.1	0.73	F36H1.2b.1	0.088	MED24-PA	0.38	XP_030827963.1	0.35	protein-coding	XP_011423276.1
LOC105327553	LOC105327553	5	0.225264663	3.015131652	0.856011519	0.263156112	0.439056062	1.50E-285	1.55E-279	uncharacterized LOC105327553	P14547.1	0.006	BE0003N10.6d.1	0.98	S-PA	0.017	XP_793412.2	0.44	protein-coding	XP_034331151.1
LOC105322697	LOC105322697	6	0.694206628	13.35330437	0.908629442	0.764015116	0.720681827	0	0	cubilin	Q9JLB4.3	1.19E-59	ZC116.3.1	1.00E-25	Cubn-PB	6.63E-52	XP_030827983.1	6.31E-64	protein-coding	XP_011419847.2
LOC105322336	LOC105322336	6	0.660231896	13.52823243	0.918781726	0.718594936	0.722466055	0	0	uncharacterized LOC105322336	H9J9M0.1	1.30E-46	C54G7.3a.1	5.59E-37	Cda5-PH	1.68E-56	XP_030842571.1	1.1	protein-coding	XP_034336071.1
LOC105324613	LOC105324613	6	0.608729245	17.71000778	0.960116026	0.634016336	0.762277405	0	0	chitin synthase chs-2	G5EBQ8.1	0	F48A11.1b.1	0	kkv-PD	0	XP_030836433.1	0.63	protein-coding	XP_011422034.2
LOC105336319	LOC105336319	6	0.606542758	12.16942354	0.910804931	0.665941452	0.695537693	0	0	uncharacterized LOC105336319	O35930.2	0.018	F33E2.6.1	4.78E-05			XP_011664027.2	2.92E-05	protein-coding	XP_011438875.2
LOC105327360	LOC105327360	6	0.559559414	3.320798197	0.74546773	0.750615206	0.504625524	0	0	uncharacterized LOC105327360	P34735.1	3.35E-05	Y50D4C.4a.2	0.047	oxt-PB	0.002	XP_030832229.1	0.000205	protein-coding	XP_011426086.2
LOC105317364	LOC105317364	7	0.212686221	5.229822915	0.590909091	0.359930528	0.2544059	1.07E-155	1.10E-149	protein Wnt-8b	P28026.2	2.41E-100	W01B6.1.1	8.94E-57	Wnt2-PA	1.31E-47	NP_999832.1	2.96E-81	protein-coding	XP_011412295.2
LOC105346912	LOC105346912	7	0.19653832	3.007831226	0.537337662	0.365763158	0.207010087	1.29E-126	1.33E-120	GATA zinc finger domain-containing protein 14			Y71G12B.16.1	5.2	futsch-PF	6.3	XP_030830688.1	1.2	protein-coding	XP_011453990.2
LOC105319801	LOC105319801	7	0.178152313	6.751838781	0.803571429	0.221700656	0.261477641	4.71E-160	4.86E-154	uncharacterized LOC105319801	Q03280.1	1.5			sano-PE	0.78	XP_030829517.1	6.4	protein-coding	XP_011415787.1
LOC105341552	LOC105341552	7	0.171733247	7.054290942	0.730519481	0.235083734	0.276417826	2.85E-169	2.94E-163	neprilysin-1	Q9W436.2	0	F18A12.8a.1	1.47E-167	Nep1-PD	0	XP_781407.3	0	protein-coding	XP_011446433.2
LOC105337644	LOC105337644	7	0.165516752	8.674320136	0.748376623	0.221167721	0.26230551	1.45E-160	1.50E-154	uncharacterized LOC105337644	Q5F4C0.1	1.69E-11	Y41D4A.3.1	1.6	CG12206-PC	7.8	XP_030846822.1	4.50E-11	protein-coding	XP_034304556.1
LOC105325948	LOC105325948	8	0.36929708	12.978931	0.960805085	0.384362121	0.641722016	0	0	transient receptor potential cation channel subfamily M member-like 2	A7T1N0.1	1.02E-97	ZK512.3.1	1.34E-59	Trpm-PJ	5.40E-34	XP_030829334.1	8.19E-84	protein-coding	XP_019921765.2
LOC105340661	LOC105340661	8	0.345518765	5.017410701	0.831567797	0.415502821	0.491133921	5.46E-269	5.63E-263	putative phosphatidylglycerol/phosphatidylinositol transfer protein 2	Q54SW1.2	4.89E-08	T20F10.2b.1	0.62			XP_030831835.1	9.27E-16	protein-coding	XP_011445146.2
