gene_id	gene_ID	short name for dot plot	unitpro	up_evalue	cel	cel_evalue	dmel	dmel_evalue	spur_acc	spur_evalue	Gene Type	Protein accession
LOC105318652	protein IWS1 homolog	protein IWS1	Q18DN4.1	0.33	F46B6.7.2	5.9	Osi18-PA	1.2	XP_030847822.1	7.48E-17	protein-coding	XP_011414173.2
LOC105328005	calmodulin-A	calmodulin-A	P02594.2	1.23E-68	T21H3.3a.1	5.43E-69	Cam-PD	1.30E-68	XP_030854314.1	2.92E-70	protein-coding	XP_011427024.1
LOC105332606	transcription factor GATA-4	GATA-4	Q91677.1	1.42E-86	W09C2.1b.1	4.89E-47	pnr-PD	5.74E-63	NP_001005725.1	2.14E-68	protein-coding	XP_034333068.1
LOC105333710	uncharacterized LOC105333710	unchr..3710	Q9XZK2.1	1.1	B0205.4.1	0.3	cer-PA	1.1	XP_030842751.1	2	protein-coding	XP_011435143.2
LOC105318663	"keratin, type I cytoskeletal 10"	keratin	A5DVD6.1	0.069	K08E4.1.2	1.2			XP_030837225.1	0.59	protein-coding	XP_019918915.2
LOC105338820	receptor-type tyrosine-protein phosphatase kappa	ptprt	Q99M80.2	1.13E-101	C09D8.1h.1	1.86E-85	Lar-PD	1.78E-78	XP_030851933.1	8.17E-105	protein-coding	XP_019927189.2
LOC105344238	uncharacterized LOC105344238_ncRNA	unchr..4238									lncRNA	
LOC105326722	glycine-rich cell wall structural protein	gly-rich cell wall structure	Q9QZ04.2	0.000107	Y53H1C.2c.1	2.12E-06			XP_030831660.1	0.008	protein-coding	XP_034318823.1
LOC105322816	carbohydrate sulfotransferase 13	chst13	Q7T3S3.1	2.90E-35	C18B2.1.1	0.062	CG31743-PB	9.54E-29	XP_011672230.2	2.50E-32	protein-coding	XP_011420016.2
LOC105336057	transient receptor potential cation channel subfamily V member 3	TRPV3	Q91ZT9.1	2.40E-22	B0350.2e.2	1.82E-16	Ank-PE	6.60E-17	XP_030838677.1	0	protein-coding	XP_034313180.1
LOC105344501	tumor necrosis factor	TNF	O14788.1	6.05E-14	Y71A12B.12b.1	0.061	ND-42-PC	3	XP_030837604.1	0.08	protein-coding	XP_011450585.2
LOC105337048	uncharacterized LOC105337048	unchr..7048	C0HL13.1	6.18E-05	F29D11.1.1	0.000144	trol-PAV	4.31E-06	XP_030844687.1	1.71E-08	protein-coding	XP_011439908.2
